config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,search_max_lag_days,observed_best_lag_days,observed_max_correlation,bootstrap_max_correlation_median,bootstrap_max_correlation_ci025,bootstrap_max_correlation_ci975,bootstrap_best_lag_mode_days,bootstrap_mode_probability,bootstrap_best_lag_ci025,bootstrap_best_lag_ci975,bootstrap_best_lag_ci_width_days,near_peak_001_lag_ranges,near_peak_002_lag_ranges,stability_class,bootstrap_reps
main_ganjiang_extreme_missing,Ganjiang,赣江,Spring,14,spearman,month_median,15,5,0.3874574022,0.3890362233,0.3489324592,0.4273752987,5,0.7475,4,6,2,4-5,4-6,稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Spring,14,spearman,month_median,20,5,0.3874574022,0.3890362233,0.3489324592,0.4273752987,5,0.7475,4,6,2,4-5,4-6,稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Summer,14,spearman,month_median,10,4,0.3860171178,0.388125062,0.3223249517,0.4578282744,4,0.9405,3,4,1,4,4,稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Summer,14,spearman,month_median,15,4,0.3860171178,0.388125062,0.3223249517,0.4578282744,4,0.9405,3,4,1,4,4,稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Summer,14,spearman,month_median,20,4,0.3860171178,0.388125062,0.3223249517,0.4578282744,4,0.9405,3,4,1,4,4,稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Winter,13,spearman,month_median,10,6,0.3203040031,0.3257675767,0.2530755453,0.4080342226,6,0.5625,6,10,4,6-8,5-10,不稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Winter,13,spearman,month_median,15,6,0.3203040031,0.3258303851,0.2540193468,0.4080342226,6,0.5515,6,12,6,6-8,5-10,不稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Winter,13,spearman,month_median,20,6,0.3203040031,0.3258303851,0.2540193468,0.4080342226,6,0.5515,6,12,6,6-8,5-10,不稳定,2000
main_month_median_pearson,Changjiang,昌江,All,14,pearson,month_median,10,1,0.7012171781,0.7028966546,0.6556686848,0.7385272607,1,1,1,1,0,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,All,14,pearson,month_median,15,1,0.7012171781,0.7028966546,0.6556686848,0.7385272607,1,1,1,1,0,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,All,14,pearson,month_median,20,1,0.7012171781,0.7028966546,0.6556686848,0.7385272607,1,1,1,1,0,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,Autumn,14,pearson,month_median,10,2,0.4319319976,0.4295768887,0.3021333091,0.513535662,2,0.961,1,2,1,2,2,稳定,2000
main_month_median_pearson,Changjiang,昌江,Autumn,14,pearson,month_median,15,2,0.4319319976,0.4295768887,0.3021333091,0.513535662,2,0.961,1,2,1,2,2,稳定,2000
main_month_median_pearson,Changjiang,昌江,Autumn,14,pearson,month_median,20,2,0.4319319976,0.4295768887,0.3021333091,0.513535662,2,0.961,1,2,1,2,2,稳定,2000
main_month_median_pearson,Changjiang,昌江,Spring,14,pearson,month_median,10,1,0.6219682503,0.6208539009,0.547938247,0.6753630832,1,1,1,1,0,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,Spring,14,pearson,month_median,15,1,0.6219682503,0.6208539009,0.547938247,0.6753630832,1,1,1,1,0,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,Spring,14,pearson,month_median,20,1,0.6219682503,0.6208539009,0.547938247,0.6753630832,1,1,1,1,0,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,Summer,14,pearson,month_median,10,1,0.769738078,0.7723485827,0.7063761204,0.8200294197,1,1,1,1,0,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,Summer,14,pearson,month_median,15,1,0.769738078,0.7723485827,0.7063761204,0.8200294197,1,1,1,1,0,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,Summer,14,pearson,month_median,20,1,0.769738078,0.7723485827,0.7063761204,0.8200294197,1,1,1,1,0,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,Winter,13,pearson,month_median,10,1,0.4765196129,0.4829710126,0.3650046006,0.5915117368,1,0.698,1,2,1,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,Winter,13,pearson,month_median,15,1,0.4765196129,0.4829710126,0.3650046006,0.5915117368,1,0.698,1,2,1,1,1,稳定,2000
main_month_median_pearson,Changjiang,昌江,Winter,13,pearson,month_median,20,1,0.4765196129,0.4829710126,0.3650046006,0.5915117368,1,0.698,1,2,1,1,1,稳定,2000
main_month_median_pearson,Fuhe,抚河,All,14,pearson,month_median,10,2,0.6043107735,0.6044752002,0.5527528957,0.6458316565,2,1,2,2,0,2,2,稳定,2000
main_month_median_pearson,Fuhe,抚河,All,14,pearson,month_median,15,2,0.6043107735,0.6044752002,0.5527528957,0.6458316565,2,1,2,2,0,2,2,稳定,2000
main_month_median_pearson,Fuhe,抚河,All,14,pearson,month_median,20,2,0.6043107735,0.6044752002,0.5527528957,0.6458316565,2,1,2,2,0,2,2,稳定,2000
